Coursename,Coursecode,Hours,Classification
Complex Nursing Care,N 274,2,Upper Division
Public Health Nursing,N 275,2,Upper Division
Public Health Nursing Practicum,N 375P,3,Upper Division
Leadership and Management of Nursing Care,N 377,3,Upper Division
Leadership and Management of Nursing Care: Honors,N 377H,3,Upper Division
Clinical Care Management Practicum,"N 277P, 377P","2, 3",Upper Division
Capstone Preceptorship,N 279P,2,Upper Division
Psychopharmacology for Advanced Practice Nurses,"N 280C, 380C","2, 3",Graduate
Family Care Concepts in Psychiatric-Mental Health Nursing,N 280D,2,Graduate
Role of the Family Psychiatric and Mental Health Nurse Practitioner,N 280E,2,Graduate
Advanced Psychiatric and Mental Health Nursing I,N 380F,3,Graduate
Advanced Psychiatric and Mental Health Nursing I: Clinical,"N 380G, 480G","3, 4",Graduate
Advanced Psychiatric-Mental Health Nursing II,"N 280H, 380H","2, 3",Graduate
Advanced Psychiatric and Mental Health Nursing II: Clinical,N 480J,4,Graduate
Theory Development in Nursing,N 380L,3,Graduate
Topics in Historical and Philosophical Study of Nursing,N 380M,3,Graduate
Psychiatric Assessment and Psychotherapy Skills,N 480Q,4,Graduate
PMHNP: Management of Chronic Illness,N 480T,4,Graduate
Spanish for Health Care Professionals,N 380U,3,Graduate
Health Informatics,"N 281C, 381C","2, 3",Graduate
Leadership Development for Healthcare Professionals,N 381D,3,Graduate
Leadership in Diverse Settings Advanced Nursing Capstone II Practicum,N 381F,3,Graduate
Topics in Adult Health Nursing,N 381M,3,Graduate
Project Planning Practicum,"N 181P, 281P, 381P","1, 2, 3",Graduate
Patient Care Practicum,N 181Q,1,Graduate
Theoretical Foundations of Aging,N 381R,3,Graduate
Gerontological Nursing,N 381S,3,Graduate
Leadership in Diverse Settings Advanced Nursing Practicum,N 281V,2,Graduate
Leadership in Diverse Settings Advanced Nursing Capstone Practicum,"N 181W, 281W, 381W","1, 2, 3",Graduate
Sociocultural Influences on Health,N 382,3,Graduate
Health Care Delivery,N 382H,3,Graduate
Informatics for Healthcare Professionals,N 382W,3,Graduate
Professional Nursing Foundations,N 284C,2,Graduate
Conceptual Foundations of Nursing,N 384D,3,Graduate
Nursing Responses to Physiological Alterations in Health,N 484E,4,Graduate
Adult Health Nursing I,N 387F,3,Graduate
Conceptual Bases of Mental Health Nursing,N 484G,4,Graduate
Nursing Care of Childbearing and Childrearing Families,N 484H,4,Graduate
